CMDLINE c:\users\suzanne\appdata\local\programs\python\python39\python.exe test_and_timer.py
MEM 467.496094 1620207651.4151
MEM 440.625000 1620207651.5162
MEM 405.992188 1620207651.6174
MEM 342.691406 1620207651.7185
MEM 370.753906 1620207651.8194
MEM 408.144531 1620207651.9203
MEM 415.382812 1620207652.0216
MEM 466.312500 1620207652.1225
MEM 402.554688 1620207652.2238
MEM 415.382812 1620207652.3250
MEM 401.828125 1620207652.4259
MEM 434.164062 1620207652.5270
MEM 298.050781 1620207652.6280
MEM 326.050781 1620207652.7290
MEM 415.390625 1620207652.8300
MEM 452.199219 1620207652.9310
MEM 427.914062 1620207653.0320
MEM 364.972656 1620207653.1330
MEM 392.972656 1620207653.2339
MEM 426.148438 1620207653.3350
MEM 438.859375 1620207653.4361
MEM 472.964844 1620207653.5374
MEM 540.222656 1620207653.6385
MEM 378.203125 1620207653.7397
MEM 406.265625 1620207653.8406
FUNC __main__.my_func 58.1289 1620207628.8424 302.5977 1620207654.5395 0
MEM 434.164062 1620207653.9419
MEM 420.078125 1620207654.0430
MEM 478.183594 1620207654.1440
MEM 417.835938 1620207654.2450
MEM 384.804688 1620207654.3460
MEM 466.750000 1620207654.4464
MEM 245.187500 1620207654.5476
